HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
1	2	1	1	2	2	2	1	4	1	1	1	1	2	4	4	2	1	1	1	1	1	51	1	100	US
4	2	2	2	4	4	3	3	4	2	2	2	3	3	4	4	4	3	3	4	2	3	39	1	100	US
4	2	2	2	4	3	2	4	4	2	2	2	3	4	3	3	3	2	2	2	2	1	41	1	90	FI
3	2	3	5	5	4	4	4	5	4	4	3	3	3	3	3	3	1	2	4	4	3	22	1	80	US
2	2	2	4	3	3	3	1	1	4	4	4	3	4	4	3	4	1	3	5	4	1	51	2	100	US
4	2	4	2	2	4	4	5	3	2	2	1	4	5	3	3	2	2	2	2	2	2	44	2	80	US
5	5	5	3	5	5	4	5	5	5	5	5	2	5	4	4	2	3	5	5	5	5	22	2	100	US
5	4	5	5	3	5	5	5	5	5	5	5	5	5	5	5	3	4	5	5	5	5	21	1	96	US
5	4	4	3	4	5	4	4	4	3	4	3	5	4	3	4	3	2	1	4	4	2	31	1	80	US
3	3	3	3	4	4	3	4	5	4	4	4	4	4	4	2	2	3	4	4	2	3	27	1	50	CA
5	5	5	4	5	5	5	5	5	5	5	2	3	4	5	5	5	5	4	5	5	3	33	1	80	GB
3	4	5	3	4	4	5	4	4	2	4	4	5	4	4	4	4	4	4	5	4	4	29	1	90	AU
5	5	5	3	5	5	5	5	5	3	3	1	5	5	5	5	5	5	5	5	3	5	27	1	80	GB
4	3	2	3	2	4	5	4	5	2	2	2	5	5	5	4	3	3	3	5	1	2	36	1	90	NZ
4	4	4	1	1	5	4	1	4	2	1	1	3	5	4	4	1	1	1	2	1	1	24	2	85	US
4	2	2	4	2	3	2	2	4	2	2	2	3	3	4	1	3	4	2	4	2	2	19	2	70	US
2	2	2	1	1	2	3	1	2	1	1	1	1	2	4	2	1	1	2	4	2	1	31	2	75	US
5	3	2	2	4	5	4	4	5	4	5	2	5	4	4	3	4	3	5	4	4	3	27	2	85	US
4	4	5	5	2	4	4	1	5	3	1	1	3	1	5	5	4	1	1	4	1	1	18	2	95	CH
4	5	5	2	4	5	5	3	5	1	1	2	2	5	5	4	5	4	4	4	5	1	20	2	90	US
5	4	4	3	4	5	2	5	5	4	5	5	5	5	5	4	5	4	4	5	5	4	30	2	95	US
5	5	5	2	2	5	5	2	5	2	4	2	3	5	5	1	1	2	4	4	4	3	19	1	90	US
2	5	2	2	3	4	4	3	3	2	1	2	2	4	5	4	4	3	4	4	4	2	22	1	94	US
5	3	2	4	1	5	4	2	4	1	4	2	4	5	2	2	2	3	2	4	4	2	20	1	85	US
4	5	3	4	3	5	5	4	5	2	1	2	2	3	5	5	5	4	3	5	5	2	0	0	75	US
4	4	5	1	2	4	4	1	1	1	3	2	3	3	4	3	2	2	4	4	3	2	0	2	80	US
3	2	4	5	1	5	4	2	4	1	4	3	3	4	5	5	5	3	4	5	3	4	17	1	95	AU
5	1	3	4	5	5	3	5	5	1	5	5	5	5	5	3	5	5	5	5	3	5	27	1	95	US
4	5	5	5	2	5	1	2	5	3	3	3	2	3	5	1	3	4	1	4	1	1	15	1	95	AU
4	3	4	2	3	4	3	4	3	2	4	3	4	4	2	1	2	2	3	4	2	3	24	1	100	US
4	4	5	3	4	4	4	4	5	4	4	3	2	4	4	2	4	4	4	4	2	3	17	2	75	HR
4	4	4	3	4	0	5	4	2	2	4	3	5	5	4	3	3	5	4	5	3	4	32	2	90	MY
5	4	4	2	3	5	4	4	5	3	1	5	4	5	1	1	2	2	3	5	3	1	29	1	85	US
4	3	2	3	4	4	3	4	4	4	3	5	3	4	4	4	3	3	4	4	4	3	40	2	70	AU
5	5	5	4	4	5	0	5	4	5	4	4	5	5	4	4	5	3	5	4	5	4	17	1	100	US
5	5	5	5	4	4	5	5	5	4	4	3	4	4	5	5	4	5	5	5	5	4	13	2	76	US
3	2	2	2	4	3	3	2	3	2	1	2	3	4	4	4	3	2	4	1	4	3	59	1	85	IT
5	2	4	4	5	5	3	4	5	4	5	5	4	5	4	3	5	4	4	5	3	4	20	1	90	US
4	4	5	2	3	5	2	2	4	2	2	1	1	5	3	2	2	2	2	1	2	1	37	1	90	US
4	4	2	2	2	3	4	2	3	2	2	1	1	3	3	3	2	3	2	2	2	2	53	2	90	US
1	1	4	3	3	5	1	3	3	3	3	3	3	4	1	1	1	1	4	4	3	4	19	1	90	US
5	5	5	5	4	5	5	4	5	4	3	3	3	5	4	4	3	4	3	4	4	2	37	2	90	DE
5	2	4	5	5	4	3	4	5	4	4	5	4	5	5	4	4	4	4	4	4	4	20	1	95	US
2	1	2	2	4	3	3	3	2	4	4	2	4	5	2	1	3	1	2	4	2	1	21	1	90	US
5	5	5	4	5	5	5	5	5	3	5	5	2	5	5	5	3	5	4	5	3	4	37	1	95	IL
4	2	4	2	4	4	3	4	2	2	2	1	4	4	4	3	3	2	2	4	2	2	23	2	95	US
5	5	5	5	5	5	5	5	5	3	4	1	4	5	5	5	5	3	4	4	3	1	18	2	70	US
2	2	3	1	2	3	4	2	4	1	1	1	2	3	4	3	2	4	2	4	2	2	19	2	83	US
4	3	4	5	4	3	4	2	4	4	2	1	3	3	0	3	4	4	2	4	2	3	15	1	90	US
2	4	3	2	3	3	4	2	4	2	1	2	2	3	4	3	2	2	4	4	4	2	24	2	100	US
5	4	4	4	4	5	4	4	4	4	5	5	5	4	2	2	3	3	5	5	5	3	13	2	85	US
5	1	3	4	5	4	3	4	5	3	5	4	4	4	4	4	3	4	4	4	4	4	34	1	90	GR
4	1	1	5	5	5	3	4	3	5	3	5	4	5	2	2	3	3	4	5	4	2	37	2	100	US
4	2	3	1	4	4	3	2	4	3	4	3	3	4	2	4	2	4	3	4	4	1	49	2	60	US
5	5	5	3	3	2	4	5	3	2	1	3	2	5	5	3	5	1	3	5	5	3	48	1	100	US
5	5	4	4	5	5	4	4	5	4	3	3	2	4	4	5	2	3	4	5	4	2	28	2	85	US
5	5	5	1	2	4	5	5	5	1	1	2	1	4	3	5	1	1	2	2	1	1	43	2	90	US
3	3	4	3	2	4	4	3	4	3	3	3	3	3	5	4	4	4	4	4	4	2	17	2	75	US
5	4	5	5	2	5	4	4	5	1	5	4	3	5	5	5	4	4	5	5	4	4	16	2	100	US
4	4	4	3	3	4	4	3	4	2	2	2	3	4	5	4	4	2	2	3	2	2	19	2	90	US
4	3	5	5	4	5	4	3	3	2	2	1	4	4	5	3	4	1	4	4	1	3	23	1	80	PK
5	2	3	4	4	4	4	5	5	5	3	3	4	2	4	3	3	2	4	5	4	3	15	2	97	CA
5	5	5	5	1	1	1	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	13	1	100	US
3	4	4	2	3	5	5	5	1	3	5	4	5	5	2	2	1	2	4	5	3	4	18	2	97	US
5	1	4	2	5	5	3	5	4	5	5	4	5	5	4	4	4	0	5	5	4	4	19	1	95	NO
5	2	3	2	3	3	3	4	4	4	4	3	4	4	4	4	4	3	4	3	4	3	22	1	85	DK
4	1	1	4	2	4	2	4	5	3	1	1	4	5	4	3	3	2	3	1	4	1	33	2	60	SG
3	1	5	4	5	5	1	5	3	5	5	5	5	4	3	4	4	3	5	5	3	5	19	1	100	BA
5	5	5	4	3	4	4	3	5	2	1	1	2	4	5	5	3	3	4	3	2	2	22	2	20	IN
4	4	2	4	4	4	4	1	2	4	4	2	4	5	4	3	3	2	3	4	2	2	26	2	90	US
2	5	3	2	3	4	4	2	4	1	3	2	3	4	1	1	1	2	2	2	1	2	35	1	100	US
5	4	1	4	5	5	4	4	4	5	4	3	4	5	2	2	2	2	3	2	2	2	22	1	80	CA
5	3	2	5	5	3	2	5	4	5	5	5	4	4	5	5	4	4	5	5	5	5	20	2	100	US
5	5	5	2	4	5	5	5	5	4	4	1	5	5	5	2	1	2	3	5	4	4	18	1	85	GB
4	3	5	3	4	4	5	4	3	1	4	5	5	5	3	4	3	4	3	5	3	2	17	1	70	GB
4	3	4	1	3	5	4	4	2	3	3	3	3	2	4	4	3	2	4	4	3	2	23	2	86	FI
4	2	4	2	2	4	4	2	4	4	5	4	5	5	4	4	2	2	2	4	4	2	24	1	95	US
2	2	2	0	2	2	3	2	1	2	2	2	3	3	4	4	2	2	4	4	4	2	22	2	20	CA
5	1	3	4	5	5	3	5	5	5	4	4	4	5	5	3	5	1	2	5	5	1	23	1	92	US
3	3	4	3	4	4	5	3	5	2	2	3	3	1	4	3	4	2	3	4	3	3	23	2	80	RO
5	2	0	3	3	4	3	5	4	3	5	5	4	4	5	5	5	4	5	5	5	4	25	2	100	US
5	4	5	4	5	4	2	5	5	4	4	5	4	5	5	4	5	4	4	4	5	4	15	1	95	AU
3	2	4	2	2	5	3	2	2	3	5	2	4	5	4	4	3	1	2	5	3	3	15	2	80	US
5	5	5	2	3	5	5	5	5	4	1	2	3	5	1	1	4	3	4	4	2	3	14	1	75	GB
4	4	4	2	3	4	4	2	4	1	1	2	2	3	3	1	1	2	2	3	1	1	23	2	80	US
4	5	5	4	4	4	5	4	5	3	4	4	4	4	5	5	2	4	3	4	3	2	31	2	89	US
3	2	4	4	5	4	3	4	4	2	4	5	4	5	4	4	4	4	5	5	5	4	27	1	90	IN
1	5	1	1	2	3	5	5	4	1	2	4	4	2	4	4	1	4	5	5	5	3	35	2	90	US
5	4	2	4	4	5	3	2	5	1	4	1	1	5	5	2	4	2	4	4	4	4	26	1	85	US
2	1	5	2	3	4	2	2	4	2	1	2	1	4	3	1	1	2	3	4	1	2	20	2	100	US
4	4	2	2	2	4	4	4	4	4	2	2	2	5	4	4	1	3	5	4	2	3	25	1	80	RU
5	3	3	2	4	5	4	5	5	3	4	2	4	5	3	4	4	3	4	2	5	4	34	2	70	SE
4	4	4	4	2	4	3	3	4	1	2	1	4	4	4	4	1	3	2	1	2	2	28	2	80	DE
4	5	5	5	4	5	3	4	5	2	4	4	3	5	5	4	4	4	2	2	2	2	17	2	100	GB
5	4	4	1	3	3	3	3	1	1	1	1	1	4	1	1	1	1	1	1	3	1	29	2	90	GB
5	5	4	3	2	4	5	3	4	2	2	2	2	3	4	3	3	2	2	4	2	2	36	2	50	GB
2	3	3	3	2	4	4	2	5	1	2	1	2	4	3	2	2	2	2	3	2	2	20	2	100	US
4	1	4	2	1	5	2	1	2	3	4	1	5	5	4	4	5	4	5	5	5	4	20	1	100	US
4	3	2	3	4	5	2	3	4	2	3	2	4	4	4	4	3	2	2	3	2	2	25	1	70	US
4	1	1	2	5	4	3	2	2	3	4	3	4	4	2	2	2	1	4	4	4	4	22	1	100	US
4	4	5	2	3	4	3	4	4	2	1	1	3	4	2	2	2	3	1	1	2	1	51	2	92	AU
1	2	2	1	1	1	4	1	1	1	1	1	2	4	3	4	1	1	1	4	3	1	20	1	75	US
5	5	3	5	5	5	5	5	5	4	4	4	5	5	4	3	5	5	5	5	5	5	20	2	95	CA
3	3	3	2	5	4	3	2	4	1	3	1	4	3	3	3	3	3	3	2	3	2	52	1	90	CA
3	2	2	1	3	4	2	4	1	2	4	4	4	4	1	1	1	2	3	4	2	2	57	1	70	FI
5	4	2	3	3	4	2	1	4	1	4	4	4	5	4	3	4	3	5	5	4	4	15	2	75	AU
5	5	3	5	5	5	4	5	5	3	4	4	4	5	5	4	3	5	4	4	5	4	55	1	100	GB
4	5	4	2	2	4	5	2	4	2	1	2	2	2	4	4	2	2	4	4	4	2	15	2	90	US
5	2	5	3	5	5	2	2	5	4	5	4	5	5	2	3	4	4	5	4	3	3	15	1	85	BR
4	5	4	5	3	3	4	3	4	2	3	3	2	5	5	4	4	4	1	5	3	3	20	2	75	US
3	2	4	3	3	5	4	3	4	2	4	2	4	4	4	2	2	2	4	4	1	3	19	1	90	US
4	3	4	4	2	2	4	4	5	3	4	2	4	4	5	4	5	4	4	5	4	4	15	1	100	US
1	3	5	3	1	5	5	1	4	1	1	1	2	3	5	5	1	3	3	4	5	1	32	2	50	US
5	3	1	1	5	5	1	5	1	2	3	5	2	2	5	5	5	3	5	5	5	5	28	1	85	US
5	4	5	2	3	4	3	5	5	2	4	1	4	4	5	5	4	1	3	3	5	1	0	2	85	US
5	2	5	3	3	1	3	4	5	2	1	3	4	4	4	4	5	4	5	4	5	5	21	1	90	CA
3	2	2	2	2	5	3	3	4	2	1	1	2	2	4	3	3	2	1	1	2	2	19	1	100	US
2	3	2	2	4	4	3	2	4	2	1	1	1	1	3	3	1	1	2	1	1	1	25	1	95	EC
4	4	4	2	5	5	2	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	33	1	90	US
4	1	3	3	4	4	2	4	2	2	4	2	4	4	4	2	3	2	4	5	2	2	24	2	85	PH
4	2	4	3	3	4	2	4	4	4	2	3	4	4	4	3	2	3	3	4	2	4	48	1	90	US
5	4	4	1	4	5	4	4	5	1	4	3	2	5	4	4	5	2	4	5	5	5	24	1	70	SG
2	2	4	4	1	4	1	2	4	1	1	2	2	1	4	2	1	1	2	4	3	1	63	2	90	US
3	1	4	2	3	4	2	3	2	3	1	1	3	4	1	2	3	3	2	3	3	1	49	2	90	US
4	3	4	4	3	4	4	4	5	3	3	2	5	4	3	3	4	4	4	4	1	4	24	1	70	IN
2	1	3	2	3	5	2	4	2	5	5	3	5	4	1	1	2	2	3	4	2	2	19	1	97	US
3	2	2	2	4	2	4	3	4	3	2	2	3	2	5	4	4	4	3	4	4	2	38	1	90	CA
1	4	3	1	5	4	5	1	1	5	1	1	4	5	1	1	1	1	1	2	1	1	42	2	85	US
4	1	4	3	4	4	2	4	3	5	4	3	4	4	3	3	3	2	3	2	4	2	25	1	85	GB
2	2	4	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	31	1	80	US
5	2	1	2	4	2	4	3	3	4	2	1	5	4	5	5	4	2	4	2	4	2	34	1	90	NL
3	2	3	1	2	5	1	5	4	3	4	2	4	5	4	3	5	2	3	2	1	1	21	1	95	ZA
4	4	2	1	2	2	1	3	4	4	4	1	2	5	4	4	4	3	1	1	3	1	21	1	80	US
4	2	3	2	3	4	3	4	2	4	3	2	4	4	2	3	2	2	2	4	2	1	24	2	88	US
5	2	3	4	3	3	5	3	4	2	3	1	5	3	5	5	5	3	3	5	5	2	25	1	100	US
4	1	1	2	2	5	5	5	2	5	1	1	5	5	5	5	5	3	4	5	1	5	22	1	90	DO
4	4	3	2	3	4	4	3	2	2	1	1	2	5	3	3	1	1	1	1	2	1	42	2	70	NZ
1	5	2	1	1	4	4	1	3	1	1	1	1	1	4	4	1	1	1	1	1	1	29	2	80	AU
4	4	2	2	2	0	5	2	4	2	2	3	2	4	4	4	3	2	1	2	3	1	44	2	50	IE
0	4	4	1	2	4	2	2	4	1	1	2	1	2	4	3	2	1	2	4	2	1	40	1	90	NL
3	3	3	2	3	3	3	4	2	4	1	2	2	2	2	3	3	2	1	2	2	1	35	2	95	US
5	1	4	2	5	4	1	4	2	5	2	1	5	4	1	1	1	1	1	1	2	1	36	2	80	NZ
4	1	4	2	4	5	2	4	4	2	5	5	5	5	5	5	3	3	4	4	3	4	20	1	70	US
5	2	3	5	4	5	2	5	4	3	5	2	4	4	4	5	4	4	5	5	4	3	34	1	95	GR
3	5	4	2	3	4	1	2	3	2	4	1	4	4	3	2	3	1	3	4	3	3	18	2	90	AU
4	1	4	2	2	5	1	2	3	1	2	1	4	2	4	1	3	2	3	4	4	3	16	2	80	PH
4	5	4	1	1	5	5	3	5	1	3	1	4	4	4	5	2	4	5	5	4	4	38	1	80	US
4	4	4	5	2	4	4	3	4	2	2	2	2	5	2	2	2	3	4	2	3	3	44	2	86	CA
4	3	4	5	3	5	3	5	4	5	2	1	4	4	4	4	1	3	5	4	4	1	0	2	90	US
5	5	5	1	2	5	5	4	1	5	4	3	2	5	4	1	4	3	4	5	5	1	40	2	100	US
5	4	2	4	4	5	4	4	5	2	4	5	5	5	5	5	5	2	5	5	2	4	20	1	100	RO
4	4	4	2	3	4	4	2	4	2	1	2	2	4	4	3	2	3	4	4	4	2	58	2	85	US
2	2	2	4	4	5	2	3	4	2	4	4	4	5	4	4	4	3	4	5	4	4	22	2	80	RO
2	2	4	2	3	4	3	2	5	3	2	3	2	4	2	1	2	1	4	4	4	4	19	1	60	BE
3	3	4	2	2	3	4	2	3	2	1	2	2	4	4	4	2	2	3	4	4	2	28	2	60	US
3	2	5	3	4	4	1	4	4	1	3	2	2	1	5	5	4	3	1	4	1	1	26	1	50	FR
4	5	4	3	2	5	4	4	4	1	1	1	4	3	5	5	4	3	1	4	3	2	23	2	60	FR
4	3	5	3	4	5	4	4	5	4	3	5	4	5	4	3	3	4	4	5	4	3	27	1	80	US
5	4	5	5	3	5	4	5	5	5	3	2	4	5	4	4	4	4	5	4	4	4	27	2	80	US
4	2	4	2	3	4	4	2	4	2	2	2	2	1	4	3	2	2	1	2	2	2	39	1	66	FR
3	1	1	1	4	2	3	2	2	2	2	2	3	2	3	2	2	2	3	2	4	3	41	1	75	FR
3	2	2	4	2	4	4	4	4	2	2	2	2	5	4	4	4	4	2	4	3	2	30	2	90	US
1	5	1	1	1	3	4	1	4	1	1	1	1	1	3	4	1	1	1	1	1	1	29	2	90	AU
5	3	4	2	4	5	4	5	4	4	2	5	5	5	3	3	3	3	4	5	5	3	30	1	80	US
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	1	5	19	1	100	IN
5	4	2	5	5	5	2	5	3	4	4	3	5	5	5	2	4	4	5	5	4	4	27	1	80	US
0	2	2	2	4	4	2	5	4	2	2	1	2	3	4	1	4	4	4	1	2	2	22	1	75	US
4	4	5	2	2	4	4	3	5	2	2	2	3	4	3	2	2	2	1	2	4	1	43	2	90	GB
4	3	2	4	2	4	3	4	2	4	4	2	4	3	3	2	2	2	3	4	3	2	60	1	75	US
3	2	2	2	2	3	2	4	3	2	2	4	4	4	3	1	2	2	2	3	2	1	20	1	50	CL
4	2	4	3	4	4	2	3	3	3	4	3	4	3	4	3	4	3	2	4	4	2	0	0	7	US
4	2	2	1	1	4	3	4	4	1	1	1	4	4	3	4	1	2	1	4	2	1	30	2	70	US
5	5	5	3	4	4	4	4	4	3	2	2	2	2	5	1	1	2	2	4	2	1	19	2	95	US
4	3	4	5	5	5	4	5	5	4	4	4	3	4	5	5	5	4	4	5	5	4	19	1	100	US
3	2	4	2	2	5	2	4	3	3	1	1	4	4	3	1	1	2	4	2	2	4	24	1	85	US
5	2	3	4	4	4	4	5	5	4	4	1	4	5	5	4	4	2	3	3	3	3	24	1	50	US
5	3	5	4	5	4	5	4	5	2	2	4	3	5	5	5	4	1	4	5	5	3	26	2	80	GR
3	2	1	1	2	4	1	1	4	4	1	1	4	4	2	1	1	1	4	4	2	1	34	1	90	US
4	2	2	4	3	4	4	4	4	2	1	1	3	4	5	4	2	2	3	2	4	2	36	2	90	US
4	4	5	1	2	5	4	2	4	2	2	1	4	3	3	5	4	1	1	2	1	1	29	2	95	BE
4	2	4	2	4	4	4	3	3	1	3	1	1	2	4	4	2	2	2	4	2	1	18	2	89	US
5	1	5	1	5	5	5	5	5	5	3	3	5	3	5	1	3	5	4	3	2	3	23	1	80	US
3	1	3	3	4	4	2	4	5	3	4	2	3	5	1	1	2	1	4	4	4	3	20	1	60	US
2	3	5	4	5	5	3	5	4	4	5	5	5	5	4	4	3	2	4	4	4	3	29	1	90	US
4	3	2	4	4	5	1	5	5	4	4	5	5	5	5	2	5	3	4	4	5	4	20	1	100	CA
5	2	2	5	5	4	2	5	3	5	3	4	5	3	5	3	0	3	5	5	5	4	28	1	90	US
2	2	2	2	2	4	2	2	2	4	4	1	4	5	3	4	2	1	2	2	4	2	43	1	85	QA
4	2	4	3	3	3	2	3	3	4	2	2	2	4	2	3	2	5	3	4	4	2	50	1	95	US
5	5	5	4	2	5	5	2	5	1	4	5	4	4	5	5	5	4	3	5	2	3	19	2	70	HR
5	1	2	2	5	5	1	5	2	5	2	1	5	5	4	2	3	3	2	1	2	1	42	2	90	US
2	4	2	2	5	5	4	5	4	5	2	2	5	4	2	1	1	2	1	4	1	1	55	1	95	US
3	4	4	2	2	4	4	1	4	1	2	2	2	2	4	4	2	2	1	3	1	2	19	2	70	HR
5	3	4	4	3	5	4	4	4	3	4	4	4	4	4	2	2	4	2	4	4	2	46	2	85	US
2	4	5	2	5	4	5	5	4	4	4	4	2	5	4	2	4	4	3	4	1	2	23	1	80	FR
4	2	4	4	4	4	2	5	4	2	2	2	2	4	4	3	2	2	4	2	3	2	43	2	90	US
4	2	2	3	2	4	2	3	3	3	2	2	2	2	3	3	2	1	1	3	3	1	32	2	100	US
4	4	5	2	3	3	4	3	2	1	2	1	2	2	4	3	3	2	3	4	1	2	29	2	90	US
2	4	3	2	2	3	4	2	4	2	3	2	4	4	3	3	2	2	2	4	2	1	25	2	70	US
4	1	4	5	5	5	2	4	4	5	5	4	4	5	4	2	4	1	2	1	2	3	26	1	70	SE
4	4	4	4	2	4	4	2	4	2	2	2	2	5	4	3	2	4	1	2	2	1	32	2	90	US
